user_id,card_number,expiry_date,cvv,same_billing_shipping,ip_risk_score,label,browser_Chrome,browser_Edge,browser_Firefox,browser_Safari,device_type_Desktop,device_type_Mobile,device_type_Tablet,time_of_day_Afternoon,time_of_day_Evening,time_of_day_Morning,time_of_day_Night
U0001,4043321819600132,04/29,908,0,0.83,1,0,0,0,1,1,0,0,1,0,0,0
U0002,4379402654234,01/31,161,1,0.18,0,1,0,0,0,0,0,1,0,1,0,0
U0003,379407816184956,02/35,103,0,0.09,0,1,0,0,0,0,0,1,0,0,1,0
U0004,4316475255341928325,03/33,483,0,0.87,1,0,1,0,0,0,0,1,1,0,0,0
U0005,4030564139537675,09/27,238,1,0.72,1,1,0,0,0,0,1,0,0,0,0,1
U0006,180096965328719,02/26,226,0,0.89,1,0,0,1,0,0,1,0,1,0,0,0
U0007,3566978480184511,04/30,270,1,0.94,1,0,0,1,0,1,0,0,1,0,0,0
U0008,3582814893252886,04/25,570,1,0.04,0,0,0,1,0,0,0,1,0,0,1,0
U0009,2284303911718220,05/33,248,0,0.95,1,0,0,0,1,0,0,1,0,0,0,1
U0010,3538346578713317,01/31,983,0,0.24,0,1,0,0,0,0,0,1,0,0,0,1
U0011,3501031051834730,06/34,997,0,0.79,1,1,0,0,0,1,0,0,1,0,0,0
U0012,4631165667013,05/26,513,1,0.28,0,0,0,0,1,0,0,1,0,0,0,1
U0013,4872624731780,12/26,801,1,0.71,1,0,1,0,0,0,1,0,0,0,1,0
U0014,4677360260641,01/33,687,0,0.26,0,0,0,1,0,0,1,0,1,0,0,0
U0015,4430980500978825,04/26,121,1,0.13,0,0,0,0,1,0,0,1,0,0,0,1
U0016,3536193990916991,03/34,4353,1,0.8,1,0,1,0,0,0,1,0,0,0,0,1
U0017,4247510799118384257,06/26,542,1,0.28,0,0,0,1,0,1,0,0,0,0,0,1
U0018,30498084124114,09/34,449,0,0.83,1,0,1,0,0,0,0,1,0,0,1,0
U0019,4348740164008,12/30,427,1,0.73,1,0,0,1,0,0,0,1,0,0,1,0
U0020,180080112805985,10/27,204,1,0.13,0,0,0,0,1,1,0,0,0,0,0,1
U0021,345331586923222,04/32,256,1,0.83,1,0,0,1,0,0,0,1,0,0,0,1
U0022,4421607337543305,08/28,541,1,0.19,0,1,0,0,0,1,0,0,0,0,0,1
U0023,4868501429401965562,12/33,693,1,0.85,1,0,1,0,0,1,0,0,0,1,0,0
U0024,4608835615951484650,02/32,482,1,0.71,1,1,0,0,0,1,0,0,0,0,1,0
U0025,4629946804434,08/32,957,1,0.11,0,1,0,0,0,0,0,1,0,1,0,0
U0026,38387214895135,07/30,320,1,0.28,0,0,0,1,0,0,1,0,1,0,0,0
U0027,567917693671,02/32,201,0,0.16,0,0,0,0,1,0,1,0,0,0,1,0
U0028,6011287083172780,10/34,579,0,0.29,0,1,0,0,0,0,0,1,0,1,0,0
U0029,3587277434873476,08/26,434,1,0.16,0,1,0,0,0,0,1,0,0,0,1,0
U0030,378122362316651,07/34,603,1,0.76,1,0,0,1,0,0,0,1,0,0,0,1
U0031,6590967054668895,01/29,346,0,0.74,1,1,0,0,0,0,1,0,0,1,0,0
U0032,30065627298067,11/34,016,1,1.0,1,0,0,1,0,0,0,1,0,0,1,0
U0033,4204653755646413,04/33,805,0,0.86,1,0,0,1,0,0,1,0,0,1,0,0
U0034,4003309232718,11/34,745,0,0.94,1,0,1,0,0,1,0,0,0,1,0,0
U0035,4241904966319315,06/30,919,0,0.07,0,0,0,0,1,1,0,0,0,0,1,0
U0036,588651850673,02/27,572,1,0.14,0,0,1,0,0,0,0,1,1,0,0,0
U0037,6011849877694533,10/26,737,0,0.09,0,0,0,0,1,0,0,1,0,0,0,1
U0038,3550752735454948,10/34,831,1,0.95,1,1,0,0,0,1,0,0,0,0,1,0
U0039,4783777014363,06/29,957,0,0.83,1,0,0,1,0,1,0,0,0,1,0,0
U0040,180068557444311,07/28,1823,0,0.13,0,1,0,0,0,1,0,0,0,1,0,0
U0041,4498941343529,06/30,824,1,0.05,0,0,0,1,0,0,0,1,0,1,0,0
U0042,501884271096,02/30,775,1,0.28,0,0,0,1,0,1,0,0,0,0,1,0
U0043,4471167190229418,07/29,869,0,0.19,0,0,0,1,0,1,0,0,0,0,1,0
U0044,3586774964990911,10/28,341,0,0.85,1,0,1,0,0,0,0,1,0,1,0,0
U0045,4281206797403446,01/33,349,0,0.9,1,0,0,1,0,0,0,1,1,0,0,0
U0046,4618324210249942,10/32,746,0,0.02,0,0,0,1,0,0,0,1,0,1,0,0
U0047,4719065940139904908,04/28,874,1,0.89,1,1,0,0,0,0,1,0,0,0,1,0
U0048,4717565512567460,08/34,715,1,0.84,1,0,0,0,1,0,1,0,0,0,0,1
U0049,4168087603859770347,08/34,477,0,0.91,1,0,1,0,0,0,1,0,0,0,0,1
U0050,5193248086131712,12/27,484,1,0.14,0,0,0,1,0,0,0,1,0,1,0,0
U0051,6573782639821468,01/31,404,1,0.96,1,0,0,1,0,0,0,1,0,0,1,0
U0052,3599727875588674,10/30,396,1,0.74,1,0,0,1,0,0,0,1,1,0,0,0
U0053,4057662702899,12/30,718,1,0.07,0,1,0,0,0,0,1,0,0,0,0,1
U0054,30026217459618,11/30,865,0,0.74,1,1,0,0,0,0,1,0,0,0,0,1
U0055,4809134316117243,10/25,504,1,0.07,0,0,1,0,0,0,1,0,0,0,1,0
U0056,376238692221965,05/29,923,0,0.93,1,0,0,0,1,0,0,1,0,0,0,1
U0057,30474074821753,04/35,647,1,0.96,1,0,0,0,1,1,0,0,1,0,0,0
U0058,4671369594406409095,10/33,395,1,0.85,1,0,1,0,0,1,0,0,0,0,1,0
U0059,4942104709521,10/26,562,0,0.72,1,0,0,0,1,0,0,1,0,0,0,1
U0060,4858842474519,04/33,236,1,0.16,0,1,0,0,0,0,1,0,0,1,0,0
U0061,180016048175499,10/31,513,1,0.22,0,0,0,0,1,0,1,0,1,0,0,0
U0062,30098593174616,09/27,047,1,0.02,0,0,1,0,0,0,1,0,0,0,1,0
U0063,5438267586926178,03/32,053,0,0.82,1,0,0,0,1,0,0,1,0,0,1,0
U0064,38351585064317,01/33,390,0,0.74,1,1,0,0,0,0,1,0,0,0,1,0
U0065,639053293184,10/28,335,1,0.87,1,0,0,1,0,1,0,0,0,1,0,0
U0066,4422842102053953,07/25,402,1,0.15,0,1,0,0,0,1,0,0,0,1,0,0
U0067,3581177589178398,01/26,847,1,0.94,1,0,0,0,1,1,0,0,0,1,0,0
U0068,4076617711592123,12/29,985,1,0.98,1,0,0,1,0,1,0,0,0,0,0,1
U0069,6578961183673658,01/33,615,1,0.88,1,0,0,0,1,0,0,1,0,0,1,0
U0070,6545271111615288,04/26,885,1,0.94,1,0,0,1,0,0,1,0,1,0,0,0
U0071,4656049451983270,02/29,585,1,0.18,0,1,0,0,0,0,0,1,0,0,0,1
U0072,2259368998094028,12/29,455,1,0.99,1,0,1,0,0,0,0,1,1,0,0,0
U0073,503829612012,04/34,667,1,0.75,1,0,0,0,1,1,0,0,0,1,0,0
U0074,345459910229014,12/29,679,0,0.17,0,1,0,0,0,1,0,0,1,0,0,0
U0075,36438156149783,07/30,369,1,0.79,1,0,1,0,0,0,1,0,0,1,0,0
U0076,501834324458,05/27,762,1,0.15,0,0,0,0,1,0,0,1,1,0,0,0
U0077,4838851606071591,08/32,664,0,0.86,1,0,0,1,0,0,0,1,0,0,0,1
U0078,2290529751613699,02/32,164,1,0.09,0,0,1,0,0,0,1,0,0,0,1,0
U0079,3535218188355230,01/27,432,1,0.9,1,0,0,1,0,0,0,1,0,0,0,1
U0080,3512779979955279,06/26,744,0,0.99,1,0,0,1,0,0,0,1,0,0,1,0
U0081,3558147700541195,12/33,798,0,0.98,1,0,0,1,0,0,1,0,0,1,0,0
U0082,3579359782071513,11/33,203,1,0.8,1,0,0,1,0,0,0,1,0,0,1,0
U0083,3578892554665907,12/30,518,1,0.04,0,0,0,0,1,0,1,0,0,0,1,0
U0084,4449251925462913,07/30,652,0,0.79,1,0,0,1,0,0,0,1,1,0,0,0
U0085,4685054235733228,08/26,188,1,0.98,1,0,0,1,0,0,0,1,0,0,0,1
U0086,3559296222927066,07/31,379,0,0.06,0,0,0,1,0,0,0,1,0,0,1,0
U0087,4383473597746886232,08/27,075,0,0.03,0,0,1,0,0,1,0,0,1,0,0,0
U0088,213181412478266,11/26,750,0,0.89,1,1,0,0,0,1,0,0,0,0,0,1
U0089,6011685361530514,01/31,204,1,0.92,1,1,0,0,0,0,0,1,0,1,0,0
U0090,30277901043289,04/34,143,0,0.99,1,0,1,0,0,0,1,0,0,0,0,1
U0091,4036971179808932468,04/25,539,1,0.2,0,0,0,1,0,0,1,0,0,0,1,0
U0092,6011185188888062,04/33,654,0,0.97,1,1,0,0,0,0,0,1,0,1,0,0
U0093,3551531952058528,03/33,722,0,0.27,0,0,1,0,0,0,1,0,0,1,0,0
U0094,2404303054868746,12/25,345,0,0.3,0,0,0,0,1,0,1,0,0,1,0,0
U0095,676354156678,11/31,2775,1,0.96,1,1,0,0,0,0,1,0,1,0,0,0
U0096,180016169284518,08/26,4479,1,0.09,0,0,0,0,1,1,0,0,0,0,0,1
U0097,3527570596401653,01/34,202,1,0.06,0,1,0,0,0,0,1,0,0,1,0,0
U0098,3502135569092753,08/31,192,1,0.89,1,0,1,0,0,1,0,0,0,0,1,0
U0099,180065431027866,11/34,447,1,0.17,0,0,1,0,0,1,0,0,0,0,0,1
U0100,4731217271556,05/26,844,1,0.15,0,1,0,0,0,0,1,0,1,0,0,0
U0101,4583132370589572,09/34,911,0,0.29,0,0,0,0,1,0,1,0,0,1,0,0
U0102,4786691251778528920,06/27,801,0,0.78,1,0,1,0,0,0,1,0,0,0,1,0
U0103,213142253584141,08/28,842,1,0.09,0,1,0,0,0,0,1,0,0,0,1,0
U0104,4981829922995904,10/25,094,0,0.02,0,1,0,0,0,0,1,0,0,0,1,0
U0105,4969078447364719,04/26,767,0,0.82,1,0,0,1,0,0,0,1,1,0,0,0
U0106,30359255562583,11/34,537,1,0.11,0,0,1,0,0,1,0,0,0,1,0,0
U0107,2257321046963258,02/35,532,1,0.05,0,0,0,1,0,0,1,0,0,0,0,1
U0108,38747016873392,04/31,047,0,0.23,0,1,0,0,0,0,0,1,0,0,0,1
U0109,3548016245650600,01/35,358,1,0.72,1,1,0,0,0,1,0,0,0,1,0,0
U0110,4687849912165585234,12/33,800,0,0.75,1,0,0,0,1,1,0,0,0,1,0,0
U0111,503857872983,09/27,9526,1,0.73,1,0,0,0,1,1,0,0,0,0,0,1
U0112,3595888794705510,05/32,409,0,0.85,1,0,0,0,1,0,0,1,1,0,0,0
U0113,30499309728960,10/27,309,1,0.9,1,0,0,1,0,0,0,1,1,0,0,0
U0114,3530756263689705,08/27,385,1,0.78,1,1,0,0,0,0,0,1,0,1,0,0
U0115,4865278585497330,01/30,434,0,0.71,1,0,0,1,0,0,0,1,1,0,0,0
U0116,4757584419866524041,08/26,7473,0,0.28,0,1,0,0,0,0,1,0,1,0,0,0
U0117,4842199330839,04/29,165,1,0.12,0,0,1,0,0,0,0,1,0,0,0,1
U0118,3512082677345400,10/26,938,1,1.0,1,0,0,0,1,0,1,0,0,0,0,1
U0119,3526206724004991,02/27,4788,1,0.72,1,0,1,0,0,0,0,1,0,0,1,0
